song.id,title,duration,latitude,longitude,location,loudness,release.name,tempo,terms,year
SOMZWCG12A8C13C480,I Didn't Mean To,218.93179,37.15735675,-63.93335787,California - LA,-11.197,Fear Itself,92.198,hip hop,0
SOCIWDW12A8C13D406,Soul Deep,148.03546,35.14968,-90.04892,"Memphis, TN",-9.843,Dimensions,121.274,blue-eyed soul,1969
SOXVLOJ12AB0189215,Amor De Cabaret,177.47546,37.15735675,-63.93335787,Not available,-9.689,Las Numero 1 De La Sonora Santanera,100.07,salsa,0
SONHOTT12A8C13493C,Something Girls,233.40363,37.15735675,-63.93335787,"London, England",-9.013,Friend Or Foe,119.293,pop rock,1982
SOFSOCN12A8C143F5D,Face the Ashes,209.60608,37.15735675,-63.93335787,Not available,-4.501,Muertos Vivos,129.738,pop punk,2007
SOYMRWW12A6D4FAB14,The Moon And I (Ordinary Day Album Version),267.7024,37.15735675,-63.93335787,Not available,-9.323,Ordinary Day,147.782,southern gospel,0
SOMJBYD12A6D4F8557,Keepin It Real (Skit),114.78159,37.15735675,-63.93335787,Ohio,-17.302,Da Ghetto Psychic,111.787,breakbeat,0
SOHKNRJ12A6701D1F8,Drop of Rain,189.57016,37.15735675,-63.93335787,"Burlington, Ontario, Canada",-11.642,Gin & Phonic,101.43,post-hardcore,0
SOIAZJW12AB01853F1,Pink World,269.81832,37.15735675,-63.93335787,Not available,-13.496,Pink World,86.643,new wave,1984
SOUDSGM12AC9618304,Insatiable (Instrumental Version),266.39628,37.15735675,-63.93335787,Not available,-6.697,Superinstrumental,114.041,breakcore,0
SOQHXMF12AB0182363,Young Boy Blues,218.77506,35.21962,-80.01955,North Carolina,-10.021,I Need You,146.765,alternative rock,0
SOKEJEJ12A8C13E0D0,The Urgency (LP Version),245.21098,37.15735675,-63.93335787,"Wisner, LA",-7.545,The Way Home,117.975,ccm,0
SOMUYGI12AB0188633,La Culpa,226.35057,37.15735675,-63.93335787,Not available,-6.632,Placer & Castigo,130.04,bachata,0
SORAMLE12AB017C8B0,Auguri Cha Cha,191.84281,37.15735675,-63.93335787,Not available,-7.75,Arrivederci,137.334,chanson,0
SOBONFF12A6D4F84D8,Tonight Will Be Alright,307.3824,37.15735675,-63.93335787,"Beverly Hills, CA",-8.346,Dancing On The Ceiling,125.197,quiet storm,1986
SOHUOAP12A8AE488E9,Floating,491.12771,43.64856,-79.38533,"Toronto, Ontario, Canada",-8.576,Outskirts,119.826,country rock,1987
SOUQQEA12A8C134B1B,High Tide,228.5971,37.16793,-95.84502,United States,-16.11,Cross Currents,127.756,chill-out,0
SOILPQQ12AB017E82A,Sohna Nee Sohna Data,599.24853,37.15735675,-63.93335787,Not available,-8.032,Panjtan Ka Ghulam,99.273,qawwali,0
SOXLBJT12A8C140925,Caught In A Dream,290.29832,37.15735675,-63.93335787,Not available,-5.271,Gold,150.062,hard rock,2004
